Strain Rate,Temperature,True Strain,True Stress,True Plastic Strain,Ridge Predicted Stress,RFR Predicted Stress,XGB Predicted Stress,SVR Predicted Stress,ANN Predicted Stress,SGD Predicted Stress
0.001,150,0.009904091,650.1928101,0.001279919,637.7181688,778.3577523,611.7283,621.8862919,621.9146,613.5510049
0.001,150,0.00990496,650.1943359,0.001280788,637.7214331,778.368501,611.7283,621.8896779,621.9166,613.554493
0.001,150,0.009954351,650.2196655,0.001330179,637.9069648,778.3880017,612.072,622.0821244,622.032,613.7527476
0.001,150,0.009949465,650.2050171,0.001325293,637.8886111,778.3845367,612.072,622.0630867,622.0206,613.7331353
0.001,150,0.009987999,650.1969604,0.001363827,638.0333596,778.4109626,612.1978,622.2132301,622.1106,613.8878101
0.001,150,0.01000789,650.1717529,0.001383718,638.1080779,778.4316243,617.3546,622.2907331,622.157,613.9676522
0.001,150,0.010025233,650.1403809,0.001401061,638.1732249,778.4464594,617.3546,622.3583082,622.1976,614.0372667
0.001,150,0.010029846,650.1005249,0.001405674,638.1905531,778.4927687,616.71625,622.3762822,622.2083,614.0557832
0.001,150,0.010068783,650.0751953,0.001444611,638.3368156,778.605436,610.66675,622.5279959,622.29926,614.2120756
0.001,150,0.010083281,650.0466309,0.00145911,638.3912794,778.6201481,610.66675,622.5844896,622.33307,614.2702743
0.001,150,0.010086692,650.0059814,0.00146252,638.4040887,778.6201481,610.66675,622.5977763,622.34106,614.283962
0.001,150,0.010133379,650.0015869,0.001509207,638.5794631,778.6864116,610.4349,622.779687,622.45013,614.4713627
0.001,150,0.010133128,649.9775391,0.001508956,638.5785202,778.6864116,610.4349,622.778709,622.4495,614.4703552
0.001,150,0.010199463,650.0046997,0.001575291,638.8277001,778.7518569,599.0444,623.0371759,622.60443,614.7366227
0.001,150,0.010129571,649.9465942,0.001505399,638.5651588,778.6864116,610.4349,622.7648495,622.4412,614.4560775
0.001,150,0.010204099,649.9869995,0.001579927,638.8451147,778.7518569,599.0444,623.0552395,622.61523,614.7552315
0.001,150,0.010206029,649.9788818,0.001581857,638.8523646,778.7518569,599.0444,623.0627596,622.6198,614.7629785
0.001,150,0.010215998,649.9790039,0.001591826,638.889812,778.7518569,610.7838,623.1016027,622.64307,614.8029939
0.001,150,0.010240848,649.9959106,0.001616676,638.9831582,778.7568949,627.6029,623.1984279,622.7011,614.9027414
0.001,150,0.010254173,650.0218506,0.001630001,639.033212,778.7977813,628.33417,623.2503473,622.73224,614.9562277
0.001,150,0.010257859,650.052063,0.001633687,639.0470581,778.7977813,628.33417,623.2647094,622.74084,614.9710232
0.001,150,0.010328779,650.1416016,0.001704607,639.313461,778.8557721,613.24634,623.5410412,622.9065,615.2556948
0.001,150,0.010313447,650.1801758,0.001689275,639.2558681,778.8557721,609.95636,623.4813018,622.87067,615.1941524
0.001,150,0.010350942,650.2443848,0.00172677,639.3967138,778.8557232,609.33875,623.6273969,622.95825,615.3446567
0.001,150,0.010358865,650.2720337,0.001734694,639.4264794,778.8546342,609.33875,623.6582718,622.97675,615.3764635
0.001,150,0.01038694,650.3052368,0.001762768,639.5319362,778.8426157,617.9764,623.767659,623.0423,615.489152
0.001,150,0.010388301,650.3088379,0.001764129,639.5370486,778.8426157,617.9764,623.772962,623.0455,615.494615
0.001,150,0.01043283,650.3395386,0.001808658,639.7043167,778.836756,614.13385,623.9464643,623.1495,615.6733536
0.001,150,0.010425244,650.3400269,0.001801073,639.6758246,778.836756,616.5475,623.9169102,623.1318,615.6429076
0.001,150,0.010453594,650.3681641,0.001829422,639.7823143,778.836756,621.36945,624.0273689,623.198,615.7566999
0.001,150,0.010487453,650.4084473,0.001863281,639.9095018,778.836756,613.5818,624.1592967,623.27704,615.8926093
