Strain Rate,Temperature,True Strain,True Stress,True Plastic Strain
0.0001,27,0.10759,939.85193,0.00106
0.0001,27,0.10759,939.84794,0.00106
0.0001,27,0.1076,939.84512,0.00107
0.0001,27,0.1076,939.86056,0.00107
0.0001,27,0.1076,939.87108,0.00107
0.0001,27,0.10761,939.86995,0.00108
0.0001,27,0.10761,939.86568,0.00108
0.0001,27,0.10761,939.86605,0.00108
0.0001,27,0.10762,939.88019,0.00109
0.0001,27,0.10762,939.87599,0.00109
0.0001,27,0.10763,939.88018,0.0011
0.0001,27,0.10763,939.88164,0.0011
0.0001,27,0.10763,939.88926,0.0011
0.0001,27,0.10764,939.8952,0.00111
0.0001,27,0.10764,939.89961,0.00111
0.0001,27,0.10765,939.90215,0.00112
0.0001,27,0.10765,939.90206,0.00112
0.0001,27,0.10765,939.90581,0.00112
0.0001,27,0.10766,939.90242,0.00113
0.0001,27,0.10766,939.90416,0.00113
0.0001,27,0.10767,939.90629,0.00114
0.0001,27,0.10767,939.90486,0.00114
0.0001,27,0.10767,939.91411,0.00114
0.0001,27,0.10767,939.91679,0.00114
0.0001,27,0.10768,939.92689,0.00115
0.0001,27,0.10768,939.92419,0.00115
0.0001,27,0.10768,939.91648,0.00115
0.0001,27,0.10769,939.91933,0.00116
0.0001,27,0.10769,939.91855,0.00116
0.0001,27,0.1077,939.93421,0.00117
0.0001,27,0.1077,939.94375,0.00117
0.0001,27,0.10771,939.94832,0.00118
0.0001,27,0.10771,939.94057,0.00118
0.0001,27,0.10771,939.93649,0.00118
0.0001,27,0.10772,939.93695,0.00119
0.0001,27,0.10772,939.94238,0.00119
0.0001,27,0.10772,939.95086,0.00119
0.0001,27,0.10773,939.95932,0.0012
0.0001,27,0.10773,939.95755,0.0012
0.0001,27,0.10774,939.96156,0.00121
0.0001,27,0.10774,939.9623,0.00121
0.0001,27,0.10774,939.96646,0.00121
0.0001,27,0.10775,939.97019,0.00122
0.0001,27,0.10775,939.97808,0.00122
0.0001,27,0.10775,939.97896,0.00122
0.0001,27,0.10775,939.98106,0.00122
0.0001,27,0.10776,939.97894,0.00123
0.0001,27,0.10776,939.98068,0.00123
0.0001,27,0.10777,939.98202,0.00124
0.0001,27,0.10777,940.00127,0.00124
0.0001,27,0.10777,940.00594,0.00124
0.0001,27,0.10778,940.00761,0.00125
0.0001,27,0.10778,940.00196,0.00125
0.0001,27,0.10779,939.9975,0.00126
0.0001,27,0.10779,940.00519,0.00126
0.0001,27,0.10779,940.01167,0.00126
0.0001,27,0.1078,940.02323,0.00127
0.0001,27,0.1078,940.02961,0.00127
0.0001,27,0.1078,940.03898,0.00127
0.0001,27,0.10781,940.03997,0.00128
0.0001,27,0.10781,940.03777,0.00128
0.0001,27,0.10782,940.04254,0.00129
0.0001,27,0.10782,940.0452,0.00129
0.0001,27,0.10782,940.04049,0.00129
0.0001,27,0.10782,940.04361,0.00129
0.0001,27,0.10783,940.04786,0.0013
0.0001,27,0.10783,940.06405,0.0013
0.0001,27,0.10783,940.06501,0.0013
0.0001,27,0.10784,940.07219,0.00131
0.0001,27,0.10784,940.06819,0.00131
0.0001,27,0.10785,940.07593,0.00132
0.0001,27,0.10785,940.08051,0.00132
0.0001,27,0.10785,940.07022,0.00132
0.0001,27,0.10786,940.08181,0.00133
0.0001,27,0.10786,940.09638,0.00133
0.0001,27,0.10787,940.09653,0.00134
0.0001,27,0.10787,940.09026,0.00134
0.0001,27,0.10787,940.09333,0.00134
0.0001,27,0.10788,940.1061,0.00135
0.0001,27,0.10788,940.1041,0.00135
0.0001,27,0.10789,940.10975,0.00136
0.0001,27,0.10789,940.09741,0.00136
0.0001,27,0.10789,940.10833,0.00136
0.0001,27,0.1079,940.11474,0.00137
0.0001,27,0.1079,940.11794,0.00137
0.0001,27,0.10791,940.12528,0.00138
0.0001,27,0.10791,940.12877,0.00138
0.0001,27,0.10791,940.13495,0.00138
0.0001,27,0.10791,940.13177,0.00138
0.0001,27,0.10792,940.13925,0.00139
0.0001,27,0.10792,940.15621,0.00139
0.0001,27,0.10793,940.15567,0.0014
0.0001,27,0.10793,940.16835,0.0014
0.0001,27,0.10793,940.16524,0.0014
0.0001,27,0.10794,940.16535,0.00141
0.0001,27,0.10795,940.17355,0.00142
0.0001,27,0.10794,940.17833,0.00141
0.0001,27,0.10795,940.19639,0.00142
0.0001,27,0.10795,940.19393,0.00142
0.0001,27,0.10796,940.1937,0.00143
0.0001,27,0.10796,940.19254,0.00143
0.0001,27,0.10796,940.19023,0.00143
0.0001,27,0.10797,940.19502,0.00144
0.0001,27,0.10797,940.19277,0.00144
0.0001,27,0.10798,940.20225,0.00145
0.0001,27,0.10798,940.20614,0.00145
0.0001,27,0.10799,940.21594,0.00146
0.0001,27,0.10799,940.219,0.00146
0.0001,27,0.10799,940.20426,0.00146
0.0001,27,0.10799,940.19831,0.00146
0.0001,27,0.10799,940.20236,0.00146
0.0001,27,0.108,940.2196,0.00147
0.0001,27,0.10801,940.22811,0.00148
0.0001,27,0.10801,940.21604,0.00148
0.0001,27,0.10802,940.22559,0.00149
0.0001,27,0.10801,940.23097,0.00148
0.0001,27,0.10802,940.24428,0.00149
0.0001,27,0.10802,940.23517,0.00149
0.0001,27,0.10802,940.22397,0.00149
0.0001,27,0.10803,940.23088,0.0015
0.0001,27,0.10803,940.23867,0.0015
0.0001,27,0.10804,940.23976,0.00151
0.0001,27,0.10805,940.2395,0.00152
0.0001,27,0.10805,940.23455,0.00152
0.0001,27,0.10805,940.24186,0.00152
0.0001,27,0.10805,940.24442,0.00152
0.0001,27,0.10806,940.2476,0.00153
0.0001,27,0.10806,940.24001,0.00153
0.0001,27,0.10806,940.23243,0.00153
0.0001,27,0.10807,940.23944,0.00154
0.0001,27,0.10807,940.25413,0.00154
0.0001,27,0.10808,940.27231,0.00155
0.0001,27,0.10808,940.26489,0.00155
0.0001,27,0.10808,940.25192,0.00155
0.0001,27,0.10809,940.24135,0.00156
0.0001,27,0.10809,940.23785,0.00156
0.0001,27,0.1081,940.26247,0.00157
0.0001,27,0.1081,940.26128,0.00157
0.0001,27,0.1081,940.26842,0.00157
0.0001,27,0.1081,940.26126,0.00157
0.0001,27,0.10811,940.26202,0.00158
0.0001,27,0.10811,940.25654,0.00158
0.0001,27,0.10812,940.24317,0.00159
0.0001,27,0.10812,940.24134,0.00159
0.0001,27,0.10812,940.24653,0.00159
0.0001,27,0.10813,940.25316,0.0016
0.0001,27,0.10813,940.2494,0.0016
0.0001,27,0.10813,940.24459,0.0016
0.0001,27,0.10814,940.25471,0.00161
0.0001,27,0.10814,940.25818,0.00161
0.0001,27,0.10815,940.26572,0.00162
0.0001,27,0.10815,940.2642,0.00162
0.0001,27,0.10815,940.26416,0.00162
0.0001,27,0.10816,940.26853,0.00163
0.0001,27,0.10816,940.27379,0.00163
0.0001,27,0.10817,940.28115,0.00164
0.0001,27,0.10817,940.28745,0.00164
0.0001,27,0.10817,940.28179,0.00164
0.0001,27,0.10818,940.27137,0.00165
0.0001,27,0.10818,940.25732,0.00165
0.0001,27,0.10819,940.25829,0.00166
0.0001,27,0.10819,940.26381,0.00166
0.0001,27,0.10819,940.27808,0.00166
0.0001,27,0.10819,940.28432,0.00166
0.0001,27,0.1082,940.28638,0.00167
0.0001,27,0.1082,940.28427,0.00167
0.0001,27,0.1082,940.27174,0.00167
0.0001,27,0.10821,940.27403,0.00168
0.0001,27,0.10821,940.27931,0.00168
0.0001,27,0.10821,940.28484,0.00168
0.0001,27,0.10822,940.29131,0.00169
0.0001,27,0.10822,940.29527,0.00169
0.0001,27,0.10823,940.29747,0.0017
0.0001,27,0.10823,940.29284,0.0017
0.0001,27,0.10824,940.29683,0.00171
0.0001,27,0.10824,940.3096,0.00171
0.0001,27,0.10824,940.30825,0.00171
0.0001,27,0.10825,940.31965,0.00172
0.0001,27,0.10825,940.3247,0.00172
0.0001,27,0.10825,940.32651,0.00172
0.0001,27,0.10826,940.31074,0.00173
0.0001,27,0.10826,940.30884,0.00173
0.0001,27,0.10826,940.32451,0.00173
0.0001,27,0.10827,940.33561,0.00174
0.0001,27,0.10828,940.33671,0.00175
0.0001,27,0.10828,940.32874,0.00175
0.0001,27,0.10828,940.32975,0.00175
0.0001,27,0.10828,940.33133,0.00175
0.0001,27,0.10828,940.33541,0.00175
0.0001,27,0.10829,940.34396,0.00176
0.0001,27,0.10829,940.35159,0.00176
0.0001,27,0.10829,940.35037,0.00176
0.0001,27,0.1083,940.34739,0.00177
0.0001,27,0.1083,940.34403,0.00177
0.0001,27,0.10831,940.34978,0.00178
0.0001,27,0.10831,940.33594,0.00178
0.0001,27,0.10831,940.32858,0.00178
0.0001,27,0.10832,940.32935,0.00179
0.0001,27,0.10832,940.33986,0.00179
0.0001,27,0.10833,940.34827,0.0018
0.0001,27,0.10833,940.34635,0.0018
0.0001,27,0.10833,940.35478,0.0018
0.0001,27,0.10834,940.36388,0.00181
0.0001,27,0.10834,940.36073,0.00181
0.0001,27,0.10835,940.35874,0.00182
0.0001,27,0.10835,940.3457,0.00182
0.0001,27,0.10835,940.35406,0.00182
0.0001,27,0.10835,940.35852,0.00182
0.0001,27,0.10836,940.36312,0.00183
0.0001,27,0.10836,940.36702,0.00183
0.0001,27,0.10836,940.36629,0.00183
0.0001,27,0.10837,940.37295,0.00184
0.0001,27,0.10837,940.36744,0.00184
0.0001,27,0.10838,940.38175,0.00185
0.0001,27,0.10838,940.38595,0.00185
0.0001,27,0.10838,940.38641,0.00185
0.0001,27,0.10839,940.38184,0.00186
0.0001,27,0.10839,940.37032,0.00186
0.0001,27,0.1084,940.37448,0.00187
0.0001,27,0.1084,940.3718,0.00187
0.0001,27,0.1084,940.37963,0.00187
0.0001,27,0.10841,940.37632,0.00188
0.0001,27,0.10841,940.37542,0.00188
0.0001,27,0.10842,940.38444,0.00189
0.0001,27,0.10842,940.38295,0.00189
0.0001,27,0.10842,940.38288,0.00189
0.0001,27,0.10842,940.38469,0.00189
0.0001,27,0.10843,940.38646,0.0019
0.0001,27,0.10843,940.3874,0.0019
0.0001,27,0.10843,940.3828,0.0019
0.0001,27,0.10844,940.38353,0.00191
0.0001,27,0.10844,940.38604,0.00191
0.0001,27,0.10845,940.41233,0.00192
0.0001,27,0.10845,940.43119,0.00192
0.0001,27,0.10845,940.42081,0.00192
0.0001,27,0.10846,940.41653,0.00193
0.0001,27,0.10846,940.41875,0.00193
0.0001,27,0.10847,940.43038,0.00194
0.0001,27,0.10847,940.42699,0.00194
0.0001,27,0.10847,940.42049,0.00194
0.0001,27,0.10848,940.43489,0.00195
0.0001,27,0.10848,940.43561,0.00195
0.0001,27,0.10849,940.44198,0.00196
0.0001,27,0.10849,940.4354,0.00196
0.0001,27,0.10849,940.4299,0.00196
0.0001,27,0.1085,940.43384,0.00197
0.0001,27,0.10849,940.42767,0.00196
0.0001,27,0.1085,940.42536,0.00197
0.0001,27,0.10851,940.42285,0.00198
0.0001,27,0.10851,940.42271,0.00198
0.0001,27,0.10851,940.41738,0.00198
0.0001,27,0.10851,940.41922,0.00198
0.0001,27,0.10852,940.42519,0.00199
0.0001,27,0.10852,940.42794,0.00199
0.0001,27,0.10852,940.44521,0.00199
0.0001,27,0.10853,940.45809,0.002
0.0001,27,0.10853,940.45367,0.002
0.0001,27,0.10854,940.45126,0.00201
0.0001,27,0.10854,940.44882,0.00201
0.0001,27,0.10854,940.45391,0.00201
0.0001,27,0.10854,940.45638,0.00201
0.0001,27,0.10855,940.46547,0.00202
0.0001,27,0.10855,940.46316,0.00202
0.0001,27,0.10856,940.46487,0.00203
0.0001,27,0.10856,940.45434,0.00203
0.0001,27,0.10856,940.4598,0.00203
0.0001,27,0.10857,940.47682,0.00204
0.0001,27,0.10858,940.48415,0.00205
0.0001,27,0.10857,940.46645,0.00204
0.0001,27,0.10858,940.46084,0.00205
0.0001,27,0.10858,940.46832,0.00205
0.0001,27,0.10859,940.48148,0.00206
0.0001,27,0.10859,940.49755,0.00206
0.0001,27,0.10859,940.50227,0.00206
0.0001,27,0.1086,940.51115,0.00207
0.0001,27,0.1086,940.51249,0.00207
0.0001,27,0.10861,940.51842,0.00208
0.0001,27,0.10861,940.50749,0.00208
0.0001,27,0.10861,940.51266,0.00208
0.0001,27,0.10861,940.51083,0.00208
0.0001,27,0.10862,940.51748,0.00209
0.0001,27,0.10862,940.5194,0.00209
0.0001,27,0.10862,940.51443,0.00209
0.0001,27,0.10863,940.51859,0.0021
0.0001,27,0.10863,940.52391,0.0021
0.0001,27,0.10863,940.5294,0.0021
0.0001,27,0.10864,940.53604,0.00211
0.0001,27,0.10864,940.52551,0.00211
0.0001,27,0.10865,940.52417,0.00212
0.0001,27,0.10865,940.5273,0.00212
0.0001,27,0.10865,940.52935,0.00212
0.0001,27,0.10866,940.54329,0.00213
0.0001,27,0.10866,940.55067,0.00213
0.0001,27,0.10867,940.55611,0.00214
0.0001,27,0.10867,940.56047,0.00214
0.0001,27,0.10867,940.56452,0.00214
0.0001,27,0.10868,940.57021,0.00215
0.0001,27,0.10868,940.56468,0.00215
0.0001,27,0.10868,940.56703,0.00215
0.0001,27,0.10868,940.56837,0.00215
0.0001,27,0.10869,940.57804,0.00216
0.0001,27,0.1087,940.58856,0.00217
0.0001,27,0.10869,940.57766,0.00216
0.0001,27,0.1087,940.57745,0.00217
0.0001,27,0.1087,940.57909,0.00217
0.0001,27,0.10871,940.59869,0.00218
0.0001,27,0.10871,940.60265,0.00218
